step,elapsed_seconds,elapsed_hours,ambient_temp_c
152,45600,12.666666666666666,36.027
153,45900,12.75,36.045
154,46200,12.833333333333332,36.063
155,46500,12.916666666666666,36.082
156,46800,13.0,36.1
157,47100,13.083333333333332,36.099
158,47400,13.166666666666666,36.098
159,47700,13.25,36.098
160,48000,13.333333333333332,36.097
161,48300,13.416666666666666,36.096
162,48600,13.5,36.095
163,48900,13.583333333333332,36.094
164,49200,13.666666666666666,36.093
165,49500,13.75,36.092
166,49800,13.833333333333332,36.092
167,50100,13.916666666666666,36.091
168,50400,14.0,36.09
169,50700,14.083333333333332,36.028
170,51000,14.166666666666666,35.965
171,51300,14.25,35.902
172,51600,14.333333333333332,35.84
173,51900,14.416666666666666,35.778
174,52200,14.5,35.715
175,52500,14.583333333333332,35.652
176,52800,14.666666666666666,35.59
177,53100,14.75,35.528
178,53400,14.833333333333332,35.465
179,53700,14.916666666666666,35.402
180,54000,15.0,35.34
181,54300,15.083333333333332,35.262
182,54600,15.166666666666666,35.185
183,54900,15.25,35.108
184,55200,15.333333333333332,35.03
185,55500,15.416666666666666,34.952
186,55800,15.5,34.875
187,56100,15.583333333333332,34.798
188,56400,15.666666666666666,34.72
189,56700,15.75,34.642
190,57000,15.833333333333332,34.565
191,57300,15.916666666666666,34.488
192,57600,16.0,34.41
193,57900,16.083333333333332,34.288
194,58200,16.166666666666664,34.167
195,58500,16.25,34.045
196,58800,16.333333333333332,33.923
197,59100,16.416666666666664,33.802
198,59400,16.5,33.68
199,59700,16.583333333333332,33.558
200,60000,16.666666666666664,33.437
201,60300,16.75,33.315
202,60600,16.833333333333332,33.193
203,60900,16.916666666666664,33.072
204,61200,17.0,32.95
205,61500,17.083333333333332,32.751
206,61800,17.166666666666664,32.552
207,62100,17.25,32.352
208,62400,17.333333333333332,32.153
209,62700,17.416666666666664,31.954
210,63000,17.5,31.755
211,63300,17.583333333333332,31.556
212,63600,17.666666666666664,31.357
213,63900,17.75,31.158
214,64200,17.833333333333332,30.958
215,64500,17.916666666666664,30.759
216,64800,18.0,30.56
217,65100,18.083333333333332,30.422
218,65400,18.166666666666664,30.283
219,65700,18.25,30.145
220,66000,18.333333333333332,30.007
221,66300,18.416666666666664,29.868
222,66600,18.5,29.73
223,66900,18.583333333333332,29.592
224,67200,18.666666666666664,29.453
225,67500,18.75,29.315
226,67800,18.833333333333332,29.177
227,68100,18.916666666666664,29.038
228,68400,19.0,28.9
229,68700,19.083333333333332,28.815
230,69000,19.166666666666664,28.73
231,69300,19.25,28.645
232,69600,19.333333333333332,28.56
233,69900,19.416666666666664,28.475
234,70200,19.5,28.39
235,70500,19.583333333333332,28.305
236,70800,19.666666666666664,28.22
237,71100,19.75,28.135
238,71400,19.833333333333332,28.05
239,71700,19.916666666666664,27.965
240,72000,20.0,27.88
241,72300,20.083333333333332,27.806
242,72600,20.166666666666664,27.732
243,72900,20.25,27.658
244,73200,20.333333333333332,27.583
245,73500,20.416666666666664,27.509
246,73800,20.5,27.435
247,74100,20.583333333333332,27.361
248,74400,20.666666666666664,27.287
249,74700,20.75,27.212
250,75000,20.833333333333332,27.138
251,75300,20.916666666666664,27.064
252,75600,21.0,26.99
253,75900,21.083333333333332,26.878
254,76200,21.166666666666664,26.765
255,76500,21.25,26.652
256,76800,21.333333333333332,26.54
257,77100,21.416666666666664,26.428
258,77400,21.5,26.315
259,77700,21.583333333333332,26.202
260,78000,21.666666666666664,26.09
261,78300,21.75,25.978
262,78600,21.833333333333332,25.865
263,78900,21.916666666666664,25.753
264,79200,22.0,25.64
265,79500,22.083333333333332,25.562
266,79800,22.166666666666664,25.483
267,80100,22.25,25.405
268,80400,22.333333333333332,25.327
269,80700,22.416666666666664,25.248
270,81000,22.5,25.17
271,81300,22.583333333333332,25.092
272,81600,22.666666666666664,25.013
273,81900,22.75,24.935
274,82200,22.833333333333332,24.857
275,82500,22.916666666666664,24.778
276,82800,23.0,24.7
277,83100,23.083333333333332,24.649
278,83400,23.166666666666664,24.598
279,83700,23.25,24.548
280,84000,23.333333333333332,24.497
281,84300,23.416666666666664,24.446
282,84600,23.5,24.395
283,84900,23.583333333333332,24.344
284,85200,23.666666666666664,24.293
285,85500,23.75,24.242
286,85800,23.833333333333332,24.192
287,86100,23.916666666666664,24.141
288,86400,24.0,24.09
289,86700,24.083333333333332,24.05
290,87000,24.166666666666664,24.01
291,87300,24.25,23.97
292,87600,24.333333333333332,23.93
293,87900,24.416666666666664,23.89
294,88200,24.5,23.85
295,88500,24.583333333333332,23.81
296,88800,24.666666666666664,23.77
297,89100,24.75,23.73
298,89400,24.833333333333332,23.69
299,89700,24.916666666666664,23.65
300,90000,25.0,23.61
301,90300,25.083333333333332,23.578
302,90600,25.166666666666664,23.547
303,90900,25.25,23.515
304,91200,25.333333333333332,23.483
305,91500,25.416666666666664,23.452
306,91800,25.5,23.42
307,92100,25.583333333333332,23.388
308,92400,25.666666666666664,23.357
309,92700,25.75,23.325
310,93000,25.833333333333332,23.293
311,93300,25.916666666666664,23.262
312,93600,26.0,23.23
313,93900,26.083333333333332,23.205
314,94200,26.166666666666664,23.18
315,94500,26.25,23.155
316,94800,26.333333333333332,23.13
317,95100,26.416666666666664,23.105
318,95400,26.5,23.08
319,95700,26.583333333333332,23.055
320,96000,26.666666666666664,23.03
321,96300,26.75,23.005
322,96600,26.833333333333332,22.98
323,96900,26.916666666666664,22.955
324,97200,27.0,22.93
325,97500,27.083333333333332,22.915
326,97800,27.166666666666664,22.9
327,98100,27.25,22.885
328,98400,27.333333333333332,22.87
329,98700,27.416666666666664,22.855
330,99000,27.5,22.84
331,99300,27.583333333333332,22.825
332,99600,27.666666666666664,22.81
333,99900,27.75,22.795
334,100200,27.833333333333332,22.78
335,100500,27.916666666666664,22.765
336,100800,28.0,22.75
337,101100,28.083333333333332,22.748
338,101400,28.166666666666664,22.745
339,101700,28.25,22.742
340,102000,28.333333333333332,22.74
341,102300,28.416666666666664,22.738
342,102600,28.5,22.735
343,102900,28.583333333333332,22.732
344,103200,28.666666666666664,22.73
345,103500,28.75,22.728
346,103800,28.833333333333332,22.725
347,104100,28.916666666666664,22.722
348,104400,29.0,22.72
349,104700,29.083333333333332,22.815
350,105000,29.166666666666664,22.91
351,105300,29.25,23.005
352,105600,29.333333333333332,23.1
353,105900,29.416666666666664,23.195
354,106200,29.5,23.29
355,106500,29.583333333333332,23.385
356,106800,29.666666666666664,23.48
357,107100,29.75,23.575
358,107400,29.833333333333332,23.67
359,107700,29.916666666666664,23.765
360,108000,30.0,23.86
361,108300,30.083333333333332,24.062
362,108600,30.166666666666664,24.265
363,108900,30.25,24.468
364,109200,30.333333333333332,24.67
365,109500,30.416666666666664,24.872
366,109800,30.5,25.075
367,110100,30.583333333333332,25.277
368,110400,30.666666666666664,25.48
369,110700,30.75,25.682
370,111000,30.833333333333332,25.885
371,111300,30.916666666666664,26.087
372,111600,31.0,26.29
373,111900,31.083333333333332,26.488
374,112200,31.166666666666664,26.687
375,112500,31.25,26.885
376,112800,31.333333333333332,27.083
377,113100,31.416666666666664,27.282
378,113400,31.5,27.48
379,113700,31.583333333333332,27.678
380,114000,31.666666666666664,27.877
381,114300,31.75,28.075
382,114600,31.833333333333332,28.273
383,114900,31.916666666666664,28.472
384,115200,32.0,28.67
385,115500,32.08333333333333,28.829
386,115800,32.166666666666664,28.988
387,116100,32.25,29.148
388,116400,32.33333333333333,29.307
389,116700,32.416666666666664,29.466
390,117000,32.5,29.625
391,117300,32.58333333333333,29.784
392,117600,32.666666666666664,29.943
393,117900,32.75,30.102
394,118200,32.83333333333333,30.262
395,118500,32.916666666666664,30.421
396,118800,33.0,30.58
397,119100,33.08333333333333,30.73
398,119400,33.166666666666664,30.88
399,119700,33.25,31.03
400,120000,33.33333333333333,31.18
401,120300,33.416666666666664,31.33
402,120600,33.5,31.48
403,120900,33.58333333333333,31.63
404,121200,33.666666666666664,31.78
405,121500,33.75,31.93
406,121800,33.83333333333333,32.08
407,122100,33.916666666666664,32.23
408,122400,34.0,32.38
409,122700,34.08333333333333,32.498
410,123000,34.166666666666664,32.617
411,123300,34.25,32.735
412,123600,34.33333333333333,32.853
413,123900,34.416666666666664,32.972
414,124200,34.5,33.09
415,124500,34.58333333333333,33.208
416,124800,34.666666666666664,33.327
417,125100,34.75,33.445
418,125400,34.83333333333333,33.563
419,125700,34.916666666666664,33.682
420,126000,35.0,33.8
421,126300,35.08333333333333,33.88
422,126600,35.166666666666664,33.96
423,126900,35.25,34.04
424,127200,35.33333333333333,34.12
425,127500,35.416666666666664,34.2
426,127800,35.5,34.28
427,128100,35.58333333333333,34.36
428,128400,35.666666666666664,34.44
429,128700,35.75,34.52
430,129000,35.83333333333333,34.6
431,129300,35.916666666666664,34.68
432,129600,36.0,34.76
433,129900,36.08333333333333,34.8
434,130200,36.166666666666664,34.84
435,130500,36.25,34.88
436,130800,36.33333333333333,34.92
437,131100,36.416666666666664,34.96
438,131400,36.5,35.0
439,131700,36.58333333333333,35.04
440,132000,36.666666666666664,35.08
441,132300,36.75,35.12
442,132600,36.83333333333333,35.16
443,132900,36.916666666666664,35.2
444,133200,37.0,35.24
445,133500,37.08333333333333,35.222
446,133800,37.166666666666664,35.203
447,134100,37.25,35.185
448,134400,37.33333333333333,35.167
449,134700,37.416666666666664,35.148
450,135000,37.5,35.13
451,135300,37.58333333333333,35.112
452,135600,37.666666666666664,35.093
453,135900,37.75,35.075
454,136200,37.83333333333333,35.057
455,136500,37.916666666666664,35.038
456,136800,38.0,35.02
457,137100,38.08333333333333,34.984
458,137400,38.166666666666664,34.948
459,137700,38.25,34.912
460,138000,38.33333333333333,34.877
461,138300,38.416666666666664,34.841
462,138600,38.5,34.805
463,138900,38.58333333333333,34.769
464,139200,38.666666666666664,34.733
465,139500,38.75,34.698
466,139800,38.83333333333333,34.662
467,140100,38.916666666666664,34.626
468,140400,39.0,34.59
469,140700,39.08333333333333,34.494
470,141000,39.166666666666664,34.398
471,141300,39.25,34.302
472,141600,39.33333333333333,34.207
473,141900,39.416666666666664,34.111
474,142200,39.5,34.015
475,142500,39.58333333333333,33.919
476,142800,39.666666666666664,33.823
477,143100,39.75,33.728
478,143400,39.83333333333333,33.632
479,143700,39.916666666666664,33.536
480,144000,40.0,33.44
481,144300,40.08333333333333,33.318
482,144600,40.166666666666664,33.197
483,144900,40.25,33.075
484,145200,40.33333333333333,32.953
485,145500,40.416666666666664,32.832
486,145800,40.5,32.71
487,146100,40.58333333333333,32.588
488,146400,40.666666666666664,32.467
489,146700,40.75,32.345
490,147000,40.83333333333333,32.223
491,147300,40.916666666666664,32.102
492,147600,41.0,31.98
493,147900,41.08333333333333,31.798
494,148200,41.166666666666664,31.615
495,148500,41.25,31.432
496,148800,41.33333333333333,31.25
497,149100,41.416666666666664,31.068
498,149400,41.5,30.885
499,149700,41.58333333333333,30.703
500,150000,41.666666666666664,30.52
501,150300,41.75,30.338
502,150600,41.83333333333333,30.155
503,150900,41.916666666666664,29.973
504,151200,42.0,29.79
505,151500,42.08333333333333,29.707
506,151800,42.166666666666664,29.623
507,152100,42.25,29.54
508,152400,42.33333333333333,29.457
509,152700,42.416666666666664,29.373
510,153000,42.5,29.29
511,153300,42.58333333333333,29.207
512,153600,42.666666666666664,29.123
513,153900,42.75,29.04
514,154200,42.83333333333333,28.957
515,154500,42.916666666666664,28.873
516,154800,43.0,28.79
517,155100,43.08333333333333,28.718
518,155400,43.166666666666664,28.647
519,155700,43.25,28.575
520,156000,43.33333333333333,28.503
521,156300,43.416666666666664,28.432
522,156600,43.5,28.36
523,156900,43.58333333333333,28.288
524,157200,43.666666666666664,28.217
525,157500,43.75,28.145
526,157800,43.83333333333333,28.073
527,158100,43.916666666666664,28.002
528,158400,44.0,27.93
529,158700,44.08333333333333,27.866
530,159000,44.166666666666664,27.802
531,159300,44.25,27.738
532,159600,44.33333333333333,27.673
533,159900,44.416666666666664,27.609
534,160200,44.5,27.545
535,160500,44.58333333333333,27.481
536,160800,44.666666666666664,27.417
537,161100,44.75,27.352
538,161400,44.83333333333333,27.288
539,161700,44.916666666666664,27.224
540,162000,45.0,27.16
541,162300,45.08333333333333,27.102
542,162600,45.166666666666664,27.043
543,162900,45.25,26.985
544,163200,45.33333333333333,26.927
545,163500,45.416666666666664,26.868
546,163800,45.5,26.81
547,164100,45.58333333333333,26.752
548,164400,45.666666666666664,26.693
549,164700,45.75,26.635
550,165000,45.83333333333333,26.577
551,165300,45.916666666666664,26.518
552,165600,46.0,26.46
553,165900,46.08333333333333,26.408
554,166200,46.166666666666664,26.355
555,166500,46.25,26.303
556,166800,46.33333333333333,26.25
557,167100,46.416666666666664,26.198
558,167400,46.5,26.145
559,167700,46.58333333333333,26.092
560,168000,46.666666666666664,26.04
561,168300,46.75,25.987
562,168600,46.83333333333333,25.935
563,168900,46.916666666666664,25.882
564,169200,47.0,25.83
565,169500,47.08333333333333,25.779
566,169800,47.166666666666664,25.728
567,170100,47.25,25.678
568,170400,47.33333333333333,25.627
569,170700,47.416666666666664,25.576
570,171000,47.5,25.525
571,171300,47.58333333333333,25.474
572,171600,47.666666666666664,25.423
573,171900,47.75,25.372
574,172200,47.83333333333333,25.322
575,172500,47.916666666666664,25.271
576,172800,48.0,25.22
577,173100,48.08333333333333,25.179
578,173400,48.166666666666664,25.138
579,173700,48.25,25.098
580,174000,48.33333333333333,25.057
581,174300,48.416666666666664,25.016
582,174600,48.5,24.975
583,174900,48.58333333333333,24.934
584,175200,48.666666666666664,24.893
585,175500,48.75,24.852
586,175800,48.83333333333333,24.812
587,176100,48.916666666666664,24.771
588,176400,49.0,24.73
589,176700,49.08333333333333,24.701
590,177000,49.166666666666664,24.672
591,177300,49.25,24.642
592,177600,49.33333333333333,24.613
593,177900,49.416666666666664,24.584
594,178200,49.5,24.555
595,178500,49.58333333333333,24.526
596,178800,49.666666666666664,24.497
597,179100,49.75,24.468
598,179400,49.83333333333333,24.438
599,179700,49.916666666666664,24.409
600,180000,50.0,24.38
601,180300,50.08333333333333,24.352
602,180600,50.166666666666664,24.323
603,180900,50.25,24.295
604,181200,50.33333333333333,24.267
605,181500,50.416666666666664,24.238
606,181800,50.5,24.21
607,182100,50.58333333333333,24.182
608,182400,50.666666666666664,24.153
609,182700,50.75,24.125
610,183000,50.83333333333333,24.097
611,183300,50.916666666666664,24.068
612,183600,51.0,24.04
613,183900,51.08333333333333,24.011
614,184200,51.166666666666664,23.982
615,184500,51.25,23.952
616,184800,51.33333333333333,23.923
617,185100,51.416666666666664,23.894
618,185400,51.5,23.865
619,185700,51.58333333333333,23.836
620,186000,51.666666666666664,23.807
621,186300,51.75,23.778
622,186600,51.83333333333333,23.748
623,186900,51.916666666666664,23.719
624,187200,52.0,23.69
625,187500,52.08333333333333,23.67
626,187800,52.166666666666664,23.65
627,188100,52.25,23.63
628,188400,52.33333333333333,23.61
629,188700,52.416666666666664,23.59
630,189000,52.5,23.57
631,189300,52.58333333333333,23.55
632,189600,52.666666666666664,23.53
633,189900,52.75,23.51
634,190200,52.83333333333333,23.49
635,190500,52.916666666666664,23.47
636,190800,53.0,23.45
637,191100,53.08333333333333,23.515
638,191400,53.166666666666664,23.58
639,191700,53.25,23.645
640,192000,53.33333333333333,23.71
641,192300,53.416666666666664,23.775
642,192600,53.5,23.84
643,192900,53.58333333333333,23.905
644,193200,53.666666666666664,23.97
645,193500,53.75,24.035
646,193800,53.83333333333333,24.1
647,194100,53.916666666666664,24.165
648,194400,54.0,24.23
649,194700,54.08333333333333,24.422
650,195000,54.166666666666664,24.615
651,195300,54.25,24.808
652,195600,54.33333333333333,25.0
653,195900,54.416666666666664,25.192
654,196200,54.5,25.385
655,196500,54.58333333333333,25.577
656,196800,54.666666666666664,25.77
657,197100,54.75,25.962
658,197400,54.83333333333333,26.155
659,197700,54.916666666666664,26.347
660,198000,55.0,26.54
661,198300,55.08333333333333,26.731
662,198600,55.166666666666664,26.922
663,198900,55.25,27.112
664,199200,55.33333333333333,27.303
665,199500,55.416666666666664,27.494
666,199800,55.5,27.685
667,200100,55.58333333333333,27.876
668,200400,55.666666666666664,28.067
669,200700,55.75,28.258
670,201000,55.83333333333333,28.448
671,201300,55.916666666666664,28.639
672,201600,56.0,28.83
673,201900,56.08333333333333,28.988
674,202200,56.166666666666664,29.147
675,202500,56.25,29.305
676,202800,56.33333333333333,29.463
677,203100,56.416666666666664,29.622
678,203400,56.5,29.78
679,203700,56.58333333333333,29.938
680,204000,56.666666666666664,30.097
681,204300,56.75,30.255
682,204600,56.83333333333333,30.413
683,204900,56.916666666666664,30.572
684,205200,57.0,30.73
685,205500,57.08333333333333,30.906
686,205800,57.166666666666664,31.082
687,206100,57.25,31.258
688,206400,57.33333333333333,31.433
689,206700,57.416666666666664,31.609
690,207000,57.5,31.785
691,207300,57.58333333333333,31.961
692,207600,57.666666666666664,32.137
693,207900,57.75,32.312
694,208200,57.83333333333333,32.488
695,208500,57.916666666666664,32.664
696,208800,58.0,32.84
697,209100,58.08333333333333,32.983
698,209400,58.166666666666664,33.127
699,209700,58.25,33.27
700,210000,58.33333333333333,33.413
701,210300,58.416666666666664,33.557
702,210600,58.5,33.7
703,210900,58.58333333333333,33.843
704,211200,58.666666666666664,33.987
705,211500,58.75,34.13
706,211800,58.83333333333333,34.273
707,212100,58.916666666666664,34.417
708,212400,59.0,34.56
709,212700,59.08333333333333,34.647
710,213000,59.166666666666664,34.733
711,213300,59.25,34.82
712,213600,59.33333333333333,34.907
713,213900,59.416666666666664,34.993
714,214200,59.5,35.08
715,214500,59.58333333333333,35.167
716,214800,59.666666666666664,35.253
717,215100,59.75,35.34
718,215400,59.83333333333333,35.427
719,215700,59.916666666666664,35.513
720,216000,60.0,35.6
721,216300,60.08333333333333,35.63
722,216600,60.166666666666664,35.66
723,216900,60.25,35.69
724,217200,60.33333333333333,35.72
725,217500,60.416666666666664,35.75
726,217800,60.5,35.78
727,218100,60.58333333333333,35.81
728,218400,60.666666666666664,35.84
729,218700,60.75,35.87
730,219000,60.83333333333333,35.9
731,219300,60.916666666666664,35.93
732,219600,61.0,35.96
733,219900,61.08333333333333,35.922
734,220200,61.166666666666664,35.885
735,220500,61.25,35.848
736,220800,61.33333333333333,35.81
737,221100,61.416666666666664,35.772
738,221400,61.5,35.735
739,221700,61.58333333333333,35.698
740,222000,61.666666666666664,35.66
741,222300,61.75,35.622
742,222600,61.83333333333333,35.585
743,222900,61.916666666666664,35.548
744,223200,62.0,35.51
745,223500,62.08333333333333,35.408
746,223800,62.166666666666664,35.305
747,224100,62.25,35.202
748,224400,62.33333333333333,35.1
749,224700,62.416666666666664,34.998
750,225000,62.5,34.895
751,225300,62.58333333333333,34.793
752,225600,62.666666666666664,34.69
753,225900,62.75,34.588
754,226200,62.83333333333333,34.485
755,226500,62.916666666666664,34.383
756,226800,63.0,34.28
757,227100,63.08333333333333,34.124
758,227400,63.166666666666664,33.968
759,227700,63.25,33.812
760,228000,63.33333333333333,33.657
761,228300,63.416666666666664,33.501
762,228600,63.5,33.345
763,228900,63.58333333333333,33.189
764,229200,63.666666666666664,33.033
765,229500,63.75,32.878
766,229800,63.83333333333333,32.722
767,230100,63.916666666666664,32.566
768,230400,64.0,32.41
769,230700,64.08333333333333,32.209
770,231000,64.16666666666666,32.008
771,231300,64.25,31.807
772,231600,64.33333333333333,31.607
773,231900,64.41666666666666,31.406
774,232200,64.5,31.205
775,232500,64.58333333333333,31.004
776,232800,64.66666666666666,30.803
777,233100,64.75,30.602
778,233400,64.83333333333333,30.402
779,233700,64.91666666666666,30.201
780,234000,65.0,30.0
781,234300,65.08333333333333,29.844
782,234600,65.16666666666666,29.688
783,234900,65.25,29.532
784,235200,65.33333333333333,29.377
785,235500,65.41666666666666,29.221
786,235800,65.5,29.065
787,236100,65.58333333333333,28.909
788,236400,65.66666666666666,28.753
789,236700,65.75,28.598
790,237000,65.83333333333333,28.442
791,237300,65.91666666666666,28.286
792,237600,66.0,28.13
793,237900,66.08333333333333,28.038
794,238200,66.16666666666666,27.945
795,238500,66.25,27.852
796,238800,66.33333333333333,27.76
797,239100,66.41666666666666,27.668
798,239400,66.5,27.575
799,239700,66.58333333333333,27.483
800,240000,66.66666666666666,27.39
801,240300,66.75,27.298
802,240600,66.83333333333333,27.205
803,240900,66.91666666666666,27.113
804,241200,67.0,27.02
805,241500,67.08333333333333,26.947
806,241800,67.16666666666666,26.873
807,242100,67.25,26.8
808,242400,67.33333333333333,26.727
809,242700,67.41666666666666,26.653
810,243000,67.5,26.58
811,243300,67.58333333333333,26.507
812,243600,67.66666666666666,26.433
813,243900,67.75,26.36
814,244200,67.83333333333333,26.287
815,244500,67.91666666666666,26.213
816,244800,68.0,26.14
817,245100,68.08333333333333,26.071
818,245400,68.16666666666666,26.002
819,245700,68.25,25.932
820,246000,68.33333333333333,25.863
821,246300,68.41666666666666,25.794
822,246600,68.5,25.725
823,246900,68.58333333333333,25.656
824,247200,68.66666666666666,25.587
825,247500,68.75,25.518
826,247800,68.83333333333333,25.448
827,248100,68.91666666666666,25.379
828,248400,69.0,25.31
829,248700,69.08333333333333,25.249
830,249000,69.16666666666666,25.188
831,249300,69.25,25.127
832,249600,69.33333333333333,25.067
833,249900,69.41666666666666,25.006
834,250200,69.5,24.945
835,250500,69.58333333333333,24.884
836,250800,69.66666666666666,24.823
837,251100,69.75,24.762
838,251400,69.83333333333333,24.702
839,251700,69.91666666666666,24.641
840,252000,70.0,24.58
841,252300,70.08333333333333,24.517
842,252600,70.16666666666666,24.453
843,252900,70.25,24.39
844,253200,70.33333333333333,24.327
845,253500,70.41666666666666,24.263
846,253800,70.5,24.2
847,254100,70.58333333333333,24.137
848,254400,70.66666666666666,24.073
849,254700,70.75,24.01
850,255000,70.83333333333333,23.947
851,255300,70.91666666666666,23.883
852,255600,71.0,23.82
853,255900,71.08333333333333,23.777
854,256200,71.16666666666666,23.733
855,256500,71.25,23.69
856,256800,71.33333333333333,23.647
857,257100,71.41666666666666,23.603
858,257400,71.5,23.56
859,257700,71.58333333333333,23.517
860,258000,71.66666666666666,23.473
861,258300,71.75,23.43
862,258600,71.83333333333333,23.387
863,258900,71.91666666666666,23.343
864,259200,72.0,23.3
865,259500,72.08333333333333,23.276
866,259800,72.16666666666666,23.252
867,260100,72.25,23.228
868,260400,72.33333333333333,23.203
869,260700,72.41666666666666,23.179
870,261000,72.5,23.155
871,261300,72.58333333333333,23.131
872,261600,72.66666666666666,23.107
873,261900,72.75,23.083
874,262200,72.83333333333333,23.058
875,262500,72.91666666666666,23.034
876,262800,73.0,23.01
877,263100,73.08333333333333,23.008
878,263400,73.16666666666666,23.007
879,263700,73.25,23.005
880,264000,73.33333333333333,23.003
881,264300,73.41666666666666,23.002
882,264600,73.5,23.0
883,264900,73.58333333333333,22.998
884,265200,73.66666666666666,22.997
885,265500,73.75,22.995
886,265800,73.83333333333333,22.993
887,266100,73.91666666666666,22.992
